,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.26315789473684,2.6842105263157894,0.0,34.89473684210526,8.052631578947368,0.0,0.0,13.421052631578947,0.0,42.94736842105263,2.6842105263157894,42.94736842105263,8.052631578947368,13.421052631578947,13.421052631578947,42.94736842105263,42.94736842105263,13.421052631578947,75.15789473684211,10.736842105263158,0.0,34.89473684210526,21.473684210526315,0.0,85.89473684210527,10.736842105263158,56.368421052631575,21.473684210526315,85.89473684210527,56.368421052631575,75.15789473684211,24.157894736842103,0.0,99.31578947368422,24.157894736842103,99.31578947368422,47.5,33
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.70212765957447,0.0,0.0,6.1037234042553195,13.563829787234043,1.3563829787234043,0.0,6.1037234042553195,0.6781914893617021,21.70212765957447,0.0,19.66755319148936,14.920212765957448,6.1037234042553195,6.781914893617022,21.70212765957447,21.023936170212764,6.781914893617022,27.805851063829788,13.563829787234043,1.3563829787234043,6.1037234042553195,19.66755319148936,2.0345744680851063,41.36968085106383,14.920212765957448,25.77127659574468,21.702127659574465,42.726063829787236,27.805851063829785,27.805851063829788,19.66755319148936,2.0345744680851063,47.47340425531915,21.702127659574465,49.50797872340426,23.5,33
12,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9310344827586206,0.0,2.6379310344827585,2.9310344827586206,0.0,2.9310344827586206,2.3448275862068964,0.0,2.6379310344827585,2.9310344827586206,2.6379310344827585,2.9310344827586206,2.9310344827586206,2.3448275862068964,2.6379310344827585,5.568965517241379,5.862068965517241,4.982758620689655,5.862068965517241,0.0,5.568965517241379,5.275862068965517,0.0,5.568965517241379,5.862068965517241,5.568965517241379,5.275862068965517,5.568965517241379,11.431034482758621,10.844827586206895,8.206896551724137,0.0,8.206896551724137,8.206896551724137,8.206896551724137,16.413793103448274,0.9666666666666667,34
13,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7419354838709675,0.0,2.467741935483871,2.7419354838709675,0.0,2.7419354838709675,1.6451612903225807,0.0,2.7419354838709675,2.7419354838709675,2.467741935483871,2.7419354838709675,2.7419354838709675,1.6451612903225807,2.7419354838709675,5.209677419354838,5.483870967741935,4.387096774193548,5.483870967741935,0.0,5.209677419354838,4.387096774193548,0.0,5.483870967741935,5.483870967741935,5.209677419354838,4.387096774193548,5.483870967741935,10.693548387096774,9.870967741935484,7.129032258064516,0.0,7.951612903225806,7.129032258064516,7.951612903225806,15.080645161290324,0.967741935483871,34
14,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0321046373365044,0.0,2.728894173602854,3.0321046373365044,0.0,3.0321046373365044,2.728894173602854,0.0,2.728894173602854,3.0321046373365044,2.728894173602854,3.0321046373365044,3.0321046373365044,2.728894173602854,2.728894173602854,5.760998810939358,6.064209274673009,5.457788347205708,6.064209274673009,0.0,5.760998810939358,5.760998810939358,0.0,5.760998810939358,6.064209274673009,5.760998810939358,5.760998810939358,5.760998810939358,11.825208085612367,11.521997621878716,8.793103448275863,0.0,8.489892984542212,8.793103448275863,8.489892984542212,17.282996432818074,1.0,34
15,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0357142857142856,0.0,3.0357142857142856,3.0357142857142856,0.0,3.0357142857142856,3.0357142857142856,0.0,3.0357142857142856,3.0357142857142856,3.0357142857142856,3.0357142857142856,3.0357142857142856,3.0357142857142856,3.0357142857142856,6.071428571428571,6.071428571428571,6.071428571428571,6.071428571428571,0.0,6.071428571428571,6.071428571428571,0.0,6.071428571428571,6.071428571428571,6.071428571428571,6.071428571428571,6.071428571428571,12.142857142857142,12.142857142857142,9.107142857142858,0.0,9.107142857142858,9.107142857142858,9.107142857142858,18.21428571428571,0.9642857142857143,34
16,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.252551020408163,0.0,3.252551020408163,2.927295918367347,0.0,2.927295918367347,2.927295918367347,0.0,2.927295918367347,3.252551020408163,3.252551020408163,2.927295918367347,2.927295918367347,2.927295918367347,2.927295918367347,6.505102040816326,5.854591836734694,5.854591836734694,6.17984693877551,0.0,6.17984693877551,5.854591836734694,0.0,5.854591836734694,6.17984693877551,6.17984693877551,5.854591836734694,5.854591836734694,12.35969387755102,11.709183673469388,9.107142857142858,0.0,9.107142857142858,9.107142857142858,9.107142857142858,18.214285714285715,1.0,34
17,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8263546798029555,0.0,3.1403940886699506,2.8263546798029555,0.0,2.8263546798029555,2.8263546798029555,0.0,2.8263546798029555,2.8263546798029555,3.1403940886699506,2.8263546798029555,2.8263546798029555,2.8263546798029555,2.8263546798029555,5.966748768472906,5.652709359605911,5.652709359605911,5.652709359605911,0.0,5.966748768472906,5.652709359605911,0.0,5.652709359605911,5.652709359605911,5.966748768472906,5.652709359605911,5.652709359605911,11.619458128078817,11.305418719211822,8.479064039408867,0.0,8.793103448275861,8.479064039408867,8.793103448275861,17.272167487684726,0.9655172413793104,34
18,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,4.0,0.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,4.0,0.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,8.0,0.9107142857142857,2.0111607142857144,2.0870535714285716,1.2901785714285714,0.0,1.2522321428571428,2.049107142857143,1.9352678571428572,0.9107142857142857,2.921875,4.0982142857142865,1.2901785714285714,1.2522321428571428,3.984375,2.845982142857143,5.008928571428571,2.5424107142857144,4.895089285714286,2.200892857142857,2.0111607142857144,3.3392857142857144,3.3392857142857144,1.9352678571428572,2.1629464285714284,4.212053571428571,5.350446428571429,5.274553571428571,4.098214285714286,7.551339285714285,7.437499999999999,4.25,3.9464285714285716,4.25,8.196428571428571,8.196428571428573,12.446428571428571,1.3714285714285714,35
19,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,4.0,0.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,4.0,0.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,8.0,0.9375,2.1484375,2.1484375,1.2890625,0.0,1.2890625,2.1484375,2.03125,0.9375,3.0859375,4.296875,1.2890625,1.2890625,4.1796875,2.96875,5.234375,2.578125,5.1171875,2.2265625,2.1484375,3.4375,3.4375,2.03125,2.2265625,4.375,5.5859375,5.46875,4.2578125,7.8125,7.6953125,4.375,4.1796875,4.375,8.5546875,8.5546875,12.9296875,1.411764705882353,35
